,ds,y
0,1/22/20,0
1,1/23/20,0
2,1/24/20,0
3,1/25/20,0
4,1/26/20,0
5,1/27/20,0
6,1/28/20,0
7,1/29/20,0
8,1/30/20,0
9,1/31/20,0
10,2/1/20,0
11,2/2/20,0
12,2/3/20,0
13,2/4/20,0
14,2/5/20,0
15,2/6/20,0
16,2/7/20,0
17,2/8/20,0
18,2/9/20,0
19,2/10/20,0
20,2/11/20,0
21,2/12/20,3
22,2/13/20,4
23,2/14/20,4
24,2/15/20,8
25,2/16/20,8
26,2/17/20,9
27,2/18/20,20
28,2/19/20,20
29,2/20/20,20
30,2/21/20,22
31,2/22/20,23
32,2/23/20,24
33,2/24/20,23
34,2/25/20,30
35,2/26/20,33
36,2/27/20,76
37,2/28/20,77
38,2/29/20,78
39,3/1/20,115
40,3/2/20,181
41,3/3/20,194
42,3/4/20,312
43,3/5/20,450
44,3/6/20,561
45,3/7/20,658
46,3/8/20,691
47,3/9/20,800
48,3/10/20,806
49,3/11/20,1289
50,3/12/20,1290
51,3/13/20,1721
52,3/14/20,2591
53,3/15/20,2978
54,3/16/20,3438
55,3/17/20,4140
56,3/18/20,5374
57,3/19/20,5833
58,3/20/20,6365
59,3/21/20,8916
60,3/22/20,12711
61,3/23/20,12711
62,3/24/20,19592
63,3/25/20,23322
64,3/26/20,29433
65,3/27/20,35939
66,3/28/20,42409
67,3/29/20,48693
68,3/30/20,58054
69,3/31/20,66567
70,4/1/20,78287
71,4/2/20,91554
72,4/3/20,102731
73,4/4/20,113779
74,4/5/20,122735
75,4/6/20,130111
76,4/7/20,145847
77,4/8/20,167535
78,4/9/20,184373
79,4/10/20,195568
80,4/11/20,208625
81,4/12/20,219514
