ds,y
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,2.0
2020-01-25,3.0
2020-01-26,3.0
2020-01-27,4.0
2020-01-28,8.0
2020-01-29,10.0
2020-01-30,10.0
2020-01-31,14.0
2020-02-01,19.0
2020-02-02,21.0
2020-02-03,23.0
2020-02-04,24.0
2020-02-05,24.0
2020-02-06,24.0
2020-02-07,26.0
2020-02-08,31.0
2020-02-09,33.0
2020-02-10,33.0
2020-02-11,35.0
2020-02-12,35.0
2020-02-13,35.0
2020-02-14,35.0
2020-02-15,36.0
2020-02-16,36.0
2020-02-17,36.0
2020-02-18,36.0
2020-02-19,36.0
2020-02-20,36.0
2020-02-21,53.0
2020-02-22,95.0
2020-02-23,188.0
2020-02-24,262.0
2020-02-25,366.0
2020-02-26,526.0
2020-02-27,788.0
2020-02-28,1072.0
2020-02-29,1441.0
2020-03-01,2165.0
2020-03-02,2687.0
2020-03-03,3305.0
2020-03-04,4252.0
2020-03-05,5622.0
2020-03-06,7340.0
2020-03-07,9439.0
2020-03-08,11911.0
2020-03-09,14645.0
2020-03-10,17983.0
2020-03-11,22968.0
2020-03-12,23696.0
2020-03-13,37451.0
2020-03-14,45280.0
2020-03-15,53653.0
2020-03-16,63986.0
2020-03-17,74684.0
2020-03-18,87620.0
2020-03-19,105855.0
2020-03-20,125001.0
2020-03-21,145362.0
2020-03-22,163113.0
2020-03-23,162981.0
