ds,y
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,1
2020-02-16,1
2020-02-17,1
2020-02-18,1
2020-02-19,1
2020-02-20,1
2020-02-21,2
2020-02-22,3
2020-02-23,4
2020-02-24,8
2020-02-25,11
2020-02-26,14
2020-02-27,19
2020-02-28,23
2020-02-29,31
2020-03-01,36
2020-03-02,55
2020-03-03,85
2020-03-04,114
2020-03-05,159
2020-03-06,214
2020-03-07,257
2020-03-08,408
2020-03-09,518
2020-03-10,710
2020-03-11,951
2020-03-12,955
2020-03-13,1523
2020-03-14,1791
2020-03-15,2273
2020-03-16,2748
2020-03-17,3335
2020-03-18,3939
2020-03-19,4736
2020-03-20,5882
2020-03-21,7255
2020-03-22,8525
2020-03-23,9997
2020-03-24,11669
2020-03-25,13708
2020-03-26,15811
2020-03-27,18190
2020-03-28,20640
2020-03-29,22963
2020-03-30,25617
