ds,y
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,3.0
2020-02-13,4.0
2020-02-14,4.0
2020-02-15,8.0
2020-02-16,8.0
2020-02-17,9.0
2020-02-18,20.0
2020-02-19,20.0
2020-02-20,20.0
2020-02-21,22.0
2020-02-22,23.0
2020-02-23,24.0
2020-02-24,23.0
2020-02-25,30.0
2020-02-26,33.0
2020-02-27,76.0
2020-02-28,77.0
2020-02-29,78.0
2020-03-01,115.0
2020-03-02,181.0
2020-03-03,194.0
2020-03-04,312.0
2020-03-05,450.0
2020-03-06,561.0
2020-03-07,658.0
2020-03-08,691.0
2020-03-09,800.0
2020-03-10,806.0
2020-03-11,1289.0
2020-03-12,1290.0
2020-03-13,1721.0
2020-03-14,2591.0
2020-03-15,2978.0
2020-03-16,3438.0
2020-03-17,4140.0
2020-03-18,5374.0
2020-03-19,5833.0
2020-03-20,6365.0
2020-03-21,8916.0
2020-03-22,12711.0
2020-03-23,12705.0
