,ds,y
0,1/22/20,0
1,1/23/20,0
2,1/24/20,2
3,1/25/20,3
4,1/26/20,3
5,1/27/20,4
6,1/28/20,8
7,1/29/20,10
8,1/30/20,10
9,1/31/20,14
10,2/1/20,19
11,2/2/20,21
12,2/3/20,23
13,2/4/20,24
14,2/5/20,24
15,2/6/20,24
16,2/7/20,26
17,2/8/20,31
18,2/9/20,33
19,2/10/20,33
20,2/11/20,35
21,2/12/20,35
22,2/13/20,35
23,2/14/20,35
24,2/15/20,36
25,2/16/20,36
26,2/17/20,36
27,2/18/20,36
28,2/19/20,36
29,2/20/20,36
30,2/21/20,53
31,2/22/20,95
32,2/23/20,188
33,2/24/20,262
34,2/25/20,366
35,2/26/20,526
36,2/27/20,788
37,2/28/20,1072
38,2/29/20,1441
39,3/1/20,2165
40,3/2/20,2687
41,3/3/20,3305
42,3/4/20,4252
43,3/5/20,5622
44,3/6/20,7340
45,3/7/20,9441
46,3/8/20,11913
47,3/9/20,14647
48,3/10/20,17985
49,3/11/20,22971
50,3/12/20,23699
51,3/13/20,37454
52,3/14/20,45289
53,3/15/20,53662
54,3/16/20,64001
55,3/17/20,74700
56,3/18/20,87640
57,3/19/20,105878
58,3/20/20,125033
59,3/21/20,145394
60,3/22/20,163778
61,3/23/20,188191
62,3/24/20,210357
63,3/25/20,238427
64,3/26/20,271011
65,3/27/20,303490
66,3/28/20,337288
67,3/29/20,363973
68,3/30/20,391950
