,ds,y
0,1/22/20,0
1,1/23/20,0
2,1/24/20,0
3,1/25/20,0
4,1/26/20,0
5,1/27/20,0
6,1/28/20,0
7,1/29/20,0
8,1/30/20,0
9,1/31/20,0
10,2/1/20,0
11,2/2/20,0
12,2/3/20,0
13,2/4/20,0
14,2/5/20,0
15,2/6/20,0
16,2/7/20,0
17,2/8/20,0
18,2/9/20,0
19,2/10/20,0
20,2/11/20,0
21,2/12/20,0
22,2/13/20,0
23,2/14/20,0
24,2/15/20,1
25,2/16/20,1
26,2/17/20,1
27,2/18/20,1
28,2/19/20,1
29,2/20/20,1
30,2/21/20,2
31,2/22/20,3
32,2/23/20,4
33,2/24/20,8
34,2/25/20,11
35,2/26/20,14
36,2/27/20,19
37,2/28/20,23
38,2/29/20,31
39,3/1/20,36
40,3/2/20,55
41,3/3/20,85
42,3/4/20,114
43,3/5/20,159
44,3/6/20,214
45,3/7/20,257
46,3/8/20,408
47,3/9/20,518
48,3/10/20,710
49,3/11/20,951
50,3/12/20,955
51,3/13/20,1523
52,3/14/20,1791
53,3/15/20,2273
54,3/16/20,2748
55,3/17/20,3335
56,3/18/20,3939
57,3/19/20,4736
58,3/20/20,5882
59,3/21/20,7255
60,3/22/20,8525
61,3/23/20,9997
62,3/24/20,11669
63,3/25/20,13708
64,3/26/20,15811
65,3/27/20,18190
66,3/28/20,20640
67,3/29/20,22963
68,3/30/20,25617
69,3/31/20,28451
70,4/1/20,31270
71,4/2/20,35148
72,4/3/20,38619
73,4/4/20,41830
74,4/5/20,44237
