,ds,y
0,1/22/20,0.0
1,1/23/20,0.0
2,1/24/20,0.0
3,1/25/20,0.0
4,1/26/20,0.0
5,1/27/20,0.0
6,1/28/20,0.0
7,1/29/20,0.0
8,1/30/20,0.0
9,1/31/20,0.0
10,2/1/20,0.0
11,2/2/20,0.0
12,2/3/20,0.0
13,2/4/20,0.0
14,2/5/20,0.0
15,2/6/20,0.0
16,2/7/20,0.0
17,2/8/20,0.0
18,2/9/20,0.0
19,2/10/20,0.0
20,2/11/20,0.0
21,2/12/20,3.0
22,2/13/20,4.0
23,2/14/20,4.0
24,2/15/20,8.0
25,2/16/20,8.0
26,2/17/20,9.0
27,2/18/20,20.0
28,2/19/20,20.0
29,2/20/20,20.0
30,2/21/20,22.0
31,2/22/20,23.0
32,2/23/20,24.0
33,2/24/20,23.0
34,2/25/20,30.0
35,2/26/20,33.0
36,2/27/20,76.0
37,2/28/20,77.0
38,2/29/20,78.0
39,3/1/20,115.0
40,3/2/20,181.0
41,3/3/20,194.0
42,3/4/20,312.0
43,3/5/20,450.0
44,3/6/20,561.0
45,3/7/20,658.0
46,3/8/20,691.0
47,3/9/20,800.0
48,3/10/20,806.0
49,3/11/20,1289.0
50,3/12/20,1290.0
51,3/13/20,1721.0
52,3/14/20,2591.0
53,3/15/20,2978.0
54,3/16/20,3438.0
55,3/17/20,4140.0
56,3/18/20,5374.0
57,3/19/20,5833.0
58,3/20/20,6365.0
59,3/21/20,8916.0
60,3/22/20,12711.0
61,3/23/20,12705.0
