European Region,total confirmed,total new cases,total deaths,new deaths,transmission,days since last reported
Italy,7375,1492,366,132,Local transmission,0
France,1116,410,19,9,Local transmission,0
Germany,1112,317,0,0,Local transmission,0
Spain,589,159,10,5,Local transmission,0
Switzerland,332,68,2,0,Local transmission,0
United Kingdom,277,67,2,0,Local transmission,0
Netherlands,265,77,3,2,Local transmission,0
Sweden,203,42,0,0,Local transmission,0
Belgium,200,31,0,0,Local transmission,0
Norway,169,22,0,0,Local transmission,0
Austria,112,10,0,0,Local transmission,0
Greece,73,7,0,0,Local transmission,0
Iceland,55,10,0,0,Local transmission,0
Israel,39,14,0,0,Local transmission,0
San Marino,37,10,1,0,Local transmission,0
Denmark,36,5,0,0,Local transmission,0
Czech Republic,32,6,0,0,Local transmission,0
Finland,30,11,0,0,Local transmission,0
Portugal,30,9,0,0,Local transmission,0
Ireland,21,2,0,0,Local transmission,0
Czech Republic,16,4,0,0,Local transmission,0
Romania,15,2,0,0,Local transmission,0
Georgia,13,1,0,0,Imported cases only,0
Croatia,11,0,0,0,Local transmission,2
Poland,11,5,0,0,Imported cases only,0
Estonia,10,0,0,0,Imported cases only,2
Azerbaijan,9,0,0,0,Imported cases only,2
Hungary,9,2,0,0,Local transmission,0
Russia,7,0,0,0,Imported cases only,2
Belarus,6,0,0,0,Local transmission,4
Slovakia,5,2,0,0,Local transmission,0
Bulgaria,4,2,0,0,Local transmission,0
Latvia,3,2,0,0,Imported cases only,0
Malta,3,0,0,0,Imported cases only,1
Macedonia,3,0,0,0,Imported cases only,2
Albania,2,2,0,0,Imported cases only,0
Bosnia and Herzegovina,2,0,0,0,Local transmission,4
Luxembourg,2,0,0,0,Imported cases only,2
Andorra,1,0,0,0,Imported cases only,6
Armenia,1,0,0,0,Imported cases only,7
Holy See (Vatican City),1,0,0,0,Under investigation,3
Liechtenstein,1,0,0,0,Imported cases only,3
Lithuania,1,0,0,0,Imported cases only,10
Monaco,1,0,0,0,Under investigation,8
Republic of Moldova,1,0,0,0,Imported cases only,1
Serbia,1,0,0,0,Under investigation,3
Ukraine,1,0,0,0,Imported cases only,5
